177.6	55	-1
160	45	1
160	45	1
178	48	-1
155	44	1
176	66	-1
160	43	1
172	55	-1
180	70	-1
178	75	-1
167	58	-1
163	53.5	1
177	86	-1
175	80	-1
154	44	1
183	79	-1
171	64	-1
183	74	-1
172	70	-1
174	55	-1
181	68	-1
177	65	-1
175	59	-1
174	63	1
175	59	-1
176	69.8	-1
185	95	-1
174	75	-1
172	52	1
170	57	1
167	60	1
188	88	-1
166	47	1
163	51	1
170	47	-1
180	79	-1
167	53	1
160	45	1
172	70	-1
168	55	1
161	50	1
175	60	1
159	46	1
177	72.5	-1
189	85	-1
160	47	1
173	60.9	-1
172	68	1
178	70	-1
159	46	1
178	70	-1
180	65	-1
168	60	1
165	60	1
175	60	-1
160	48	1
182	75	-1
163	65	-1
159	58	1
163	56	1
162	50	1
162	47	1
168	50	1
160	50	1
177	65	-1
179	70	-1
170	46	-1
170	59.5	-1
178	68	-1
178	70	-1
160	53	1
172	70	-1
178	66	-1
168	55	-1
176	55	-1
162	48	1
172	63	-1
160	42.5	1
167	64	1
167	74	-1
170	55	-1
174	72	-1
179.5	81	-1
161	44	1
167	47.1	-1
167	57	1
167	57	1
170	65	-1
171	57	1
162	56	1
167	54	1
160	49.5	1
162  	47	1
177	76	-1
160	44	1
167	59	1
168	58	1
164	53	1
181	65	-1
158	44	1
179	82	-1
162	51	1
177	86	-1
170	57	1
171	53	1
170	54	1
178	92	-1
179	71	-1
166	54	1
186	85	-1
172	52	1
163	41.5	1
179	78	-1
160	50.75	1
172	58	1
162	47	1
169	48	1
174	65	-1
154	42	1
173	70	-1
165	52	1
170	56	1
173	59	-1
168	60	-1
182	78	-1
163	55	1
155	44	1
155	62	1
170	65	-1
168	52	1
155	45	1
175	60	-1
173	60	-1
164	55	1
174	65	-1
178	68	-1
178	62	-1
178	67	-1
163	51	1
176	67	-1
185	70	-1
159	55	1
159	44	1
162	46	1
179	78	-1
183	73	-1
173	65	-1
177	72	-1
165	50	1
166	50	1
161	60	1
162	50	1
168	57	1
160	43	1
173	65	-1
172	75	-1
155	42.5	1
174	72	-1
170	62	-1
180	68	-1
173	61	-1
172	53.5	1
182	84	-1
175	71	-1
178	85	-1
165	53	1
183	68	-1
170	80	-1
172	75	-1
180	60	-1
175	60	-1
176	68	-1
160	48	1
167	57	-1
164	50	1
185	88	-1
162	45	1
165	63	-1
165	50	1
160	47	1
168	52	1
158	50	1
166	58	1
168	59	1
165	60	1
155	50	1
164	54	1
168	60	1
155	45	1
158	59	1
162	44	1
158	48	1
178	60	-1
177	88	-1
181	78	-1
178	75	-1
177	77	-1
169	68	-1
175	74	-1
176	76	-1
